cluster,interpretacao,Age,ALB,ALP,ALT,AST,BIL,CHE,CHOL,CREA,GGT,PROT
0,Majoritariamente doadores saudaveis; inclui casos de hepatite e fibrose com marcadores sobrepostos aos de pacientes saudaveis,46.83,42.37,66.56,28.46,30.48,8.95,8.45,5.45,78.44,32.68,72.55
1,"64% cirrose; AST e GGT elevados, BIL elevada, ALB e CHE reduzidos",56.75,29.57,94.92,28.23,104.06,50.71,4.14,3.98,127.1,149.74,63.98
