cluster,n_instancias,pct_total,n_blood_donor,n_cirrhosis,n_fibrosis,n_hepatitis,pct_blood_donor,pct_cirrhosis,pct_fibrosis,pct_hepatitis
0,579,94.1,530,7,20,22,91.5,1.2,3.5,3.8
1,36,5.9,10,23,1,2,27.8,63.9,2.8,5.6
