modelo,acuracia,precisao,recall,f1
KNN (k=7) - Teste,0.9247311827956989,0.6704545454545454,0.48333333333333334,0.532843137254902
Arvore (depth=10) - Teste,0.9032258064516129,0.3867595818815331,0.44390243902439025,0.41056910569105687
RNA MLP - Teste,0.9354838709677419,0.7231040564373897,0.6939024390243903,0.695398773006135
