k,inercia,silhouette,ari,k_escolhido
1,224.8431,,,False
2,78.0521,0.5989,-0.0168,True
3,68.1077,0.3867,0.024,False
4,61.1659,0.3643,0.0433,False
5,56.1339,0.2109,0.0283,False
6,51.764,0.2037,0.0223,False
7,48.7761,0.2062,0.0325,False
8,46.4466,0.2118,0.034,False
9,44.4978,0.1996,0.0232,False
10,43.3053,0.1848,0.0256,False
